[19.1.2021 | 17:42:52] [18seba03]: ten wygląda na chłopaka 

[19.1.2021 | 17:43:3] [_Zack_]: ten przynajmniej wygląda z ryja 

[19.1.2021 | 17:43:12] [_Zack_]: a poza tym włosy ma normalne 

[19.1.2021 | 17:43:19][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/801129680446685214/Screenshot_20210119_174313_com.android.chrome.jpg] 

[19.1.2021 | 17:43:21] [DoctorToxic]: A ten? 

[19.1.2021 | 17:43:34] [_Zack_]: baba 

[19.1.2021 | 17:43:37] [18seba03]: ten wyglada dziwnie 

[19.1.2021 | 17:43:38] [DoctorToxic]: Chłop 

[19.1.2021 | 17:43:39] [_Zack_]: albo drugi trap 

[19.1.2021 | 17:43:46] [DoctorToxic]: To jest książę 

[19.1.2021 | 17:43:46] [_Zack_]: no to kolejny trap 

[19.1.2021 | 17:43:47] [18seba03]: ale widać że chłop 

[19.1.2021 | 17:44:7] [_Zack_]: e 

[19.1.2021 | 17:44:9] [_Zack_]: trap 

[19.1.2021 | 17:44:13] [DoctorToxic]: Chłopak 

[19.1.2021 | 17:44:26][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/801129961317859348/Screenshot_20210119_174419_com.android.chrome.jpg] 

[19.1.2021 | 17:44:29] [DoctorToxic]: Stanie się nim 

[19.1.2021 | 17:44:32] [_Zack_]: kurwa ale trap to chłop który się za babe przebiera 

[19.1.2021 | 17:44:41] [18seba03]: ~~tak trapy trzeba spalić~~ znaczy on wygląda jak chłopak 

[19.1.2021 | 17:44:46] [DoctorToxic]: Nie przebiera się za babę ty idioto 

[19.1.2021 | 17:44:50] [DoctorToxic]: JEST UBRANY NORMALNIE 

[19.1.2021 | 17:44:52] [_Zack_]: ten wygląda jak chłop 

[19.1.2021 | 17:45:2] [DoctorToxic]: To jest on 

[19.1.2021 | 17:45:6] [_Zack_]: z ryja i włosów nie powiedziałbym 

[19.1.2021 | 17:45:10] [18seba03]: Zack, trap to postać wyglądająca jak dziewczyna 

[19.1.2021 | 17:45:16] [DoctorToxic]: Właśnie 

[19.1.2021 | 17:45:19] [18seba03]: nie że się ubiera 

[19.1.2021 | 17:45:22] [_Zack_]: no nie 

[19.1.2021 | 17:45:24] [DoctorToxic]: A nie umierający się jak dziewczyna 

[19.1.2021 | 17:45:33] [18seba03]: ~~ale i tak za dużo zabijają ludzi~~ 

[19.1.2021 | 17:45:48] [DoctorToxic]: Weź idź mi z trapami 

[19.1.2021 | 17:45:50] [DoctorToxic]: Lmao 

[19.1.2021 | 17:45:53] [DoctorToxic]: Chujnia z nimi 

[19.1.2021 | 17:46:53] [_Zack_]: znaczy trap może przypominać babe bo się ubiera albo sam powoduje ze mozna wpasc w omylke 

[19.1.2021 | 17:47:6] [_Zack_]: w jego przypadku włosy 

[19.1.2021 | 17:47:13] [DoctorToxic]: No pech ;-; 

